PAIS,ANO,DEWEY PRINCIPAL,ESCENARIO,IDIOMA DE ORIGEN,IDIOMA PUBLICACION,EDITORIAL,CANTIDAD
Argentina,2016,100 - Filosofía y psicología,espanol,ITALIANO,ESPAÑOL,CONTINENTE,1
Argentina,2016,100 - Filosofía y psicología,espanol,ITALIANO,ESPAÑOL,CRUCE CASA EDITORA,1
Argentina,2016,100 - Filosofía y psicología,espanol,ITALIANO,ESPAÑOL,GORLA,1
Argentina,2016,100 - Filosofía y psicología,espanol,NEERLANDÉS,ESPAÑOL,AGEBE,2
Argentina,2016,100 - Filosofía y psicología,espanol,NEERLANDÉS,ESPAÑOL,ALMA LEPIK,1
Argentina,2016,100 - Filosofía y psicología,espanol,NEERLANDÉS,ESPAÑOL,ANTROPOSOFICA,2
Argentina,2016,100 - Filosofía y psicología,espanol,NEERLANDÉS,ESPAÑOL,CACTUS,1
Argentina,2016,100 - Filosofía y psicología,espanol,NEERLANDÉS,ESPAÑOL,DOROTHEA,2
Argentina,2016,100 - Filosofía y psicología,espanol,PORTUGUÉS,ESPAÑOL,CONFEDERACION ESPIRITISTA ARGENTINA,1
Argentina,2016,100 - Filosofía y psicología,espanol,PORTUGUÉS,ESPAÑOL,GRAMA EDICIONES,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,BRETÓN,PENGUIN RANDOM HOUSE,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,ESPAÑOL,CONTINENTE,5
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,ESPAÑOL,EGODOT ARGENTINA,5
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,ESPAÑOL,GRUPO PLANETA,3
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,ESPAÑOL,MAHA YOGA,2
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,ESPAÑOL,PROMETEO EDITORES,4
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,FRANCÉS,HERNAN CHOUSA,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,INGLÉS,ADRIAN DIEGO NOE ORFOIS,2
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,INGLÉS,HASTINAPURA,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,INGLÉS,JULIO MARIO TERAN CASTELLANOS,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,LENGUA NO DETERMINADA,AZUL INDIGO,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,LENGUA NO DETERMINADA,ESPERIA EDITORIAL TEOSOFICA,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,LENGUA NO DETERMINADA,HASTINAPURA,2
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,LENGUA NO DETERMINADA,JULIAN JITERMAN,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,LENGUA NO DETERMINADA,LOSADA,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,PORTUGUÉS,FUNDACION LUCIS,4
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,PORTUGUÉS,LAS CUARENTA,1
Argentina,2016,100 - Filosofía y psicología,ingles,INGLÉS,ÁRABE,SUMA QAMANA,1
Argentina,2016,100 - Filosofía y psicología,portugues,PORTUGUÉS,ESPAÑOL,CONFEDERACION ESPIRITISTA ARGENTINA,1
Argentina,2016,100 - Filosofía y psicología,portugues,PORTUGUÉS,ESPAÑOL,GRAMA EDICIONES,1
Argentina,2016,200 - Religión,espanol,COREANO,ESPAÑOL,DANIEL ALBERTO ESTRADA,1
Argentina,2016,200 - Religión,espanol,FRANCÉS,ESPAÑOL,AGAPE LIBROS,2
Argentina,2016,200 - Religión,espanol,FRANCÉS,ESPAÑOL,RIO RECONQUISTA,7
Argentina,2016,200 - Religión,espanol,FRANCÉS,ESPAÑOL,SAN BENITO,1
Argentina,2016,200 - Religión,espanol,GRIEGO MODERNO,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,200 - Religión,espanol,INGLÉS,ESPAÑOL,ASOCIACION CASA EDITORA SUDAMERICANA,49
Argentina,2016,200 - Religión,espanol,INGLÉS,ESPAÑOL,BNEI SHOLEM,5
Argentina,2016,200 - Religión,espanol,INGLÉS,ESPAÑOL,CONTINENTE,3
Argentina,2016,200 - Religión,espanol,INGLÉS,ESPAÑOL,LA AURORA,2
Argentina,2016,200 - Religión,espanol,INGLÉS,ESPAÑOL,PENIEL,10
Argentina,2016,200 - Religión,espanol,ITALIANO,ESPAÑOL,CIUDAD NUEVA,1
Argentina,2016,200 - Religión,espanol,ITALIANO,ESPAÑOL,DE LA INMACULADA,1
Argentina,2016,200 - Religión,espanol,ITALIANO,ESPAÑOL,DEL ALCAZAR,1
Argentina,2016,200 - Religión,espanol,ITALIANO,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,200 - Religión,espanol,NEERLANDÉS,ESPAÑOL,AGAPE LIBROS,1
Argentina,2016,200 - Religión,espanol,NEERLANDÉS,ESPAÑOL,FUNDACION ROSACRUZ,1
Argentina,2016,200 - Religión,espanol,PORTUGUÉS,ESPAÑOL,ASOCIACION CASA EDITORA SUDAMERICANA,20
Argentina,2016,200 - Religión,espanol,PORTUGUÉS,ESPAÑOL,GRUPO PLANETA,1
Argentina,2016,200 - Religión,espanol,ÁRABE,ESPAÑOL,"CALLE, MARIANO RICARDO",1
Argentina,2016,200 - Religión,ingles,INGLÉS,ESPAÑOL,ASOCIACION CASA EDITORA SUDAMERICANA,49
Argentina,2016,200 - Religión,ingles,INGLÉS,ESPAÑOL,BNEI SHOLEM,5
Argentina,2016,200 - Religión,ingles,INGLÉS,ESPAÑOL,CONTINENTE,3
Argentina,2016,200 - Religión,ingles,INGLÉS,ESPAÑOL,LA AURORA,2
Argentina,2016,200 - Religión,ingles,INGLÉS,ESPAÑOL,PENIEL,10
Argentina,2016,200 - Religión,ingles,INGLÉS,INGLÉS,CARLOS ALBERTO ISAAC ESQUIVEL,2
Argentina,2016,200 - Religión,ingles,INGLÉS,INGLÉS,CONTINENTE,1
Argentina,2016,200 - Religión,ingles,INGLÉS,INGLÉS,PENIEL,1
Argentina,2016,200 - Religión,ingles,INGLÉS,INGLÉS,VERONICA PAULA CALCAGNO,1
Argentina,2016,200 - Religión,ingles,INGLÉS,ITALIANO,SENORA PORTENA,5
Argentina,2016,200 - Religión,ingles,INGLÉS,LENGUA NO DETERMINADA,BNEI SHOLEM,2
Argentina,2016,200 - Religión,ingles,INGLÉS,LENGUA NO DETERMINADA,MOAJ,1
Argentina,2016,200 - Religión,ingles,INGLÉS,LENGUA NO DETERMINADA,SANTIAGO APOSTOL,1
Argentina,2016,200 - Religión,ingles,INGLÉS,MULTILINGÜE,NER,1
Argentina,2016,200 - Religión,ingles,INGLÉS,PORTUGUÉS,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2016,200 - Religión,ingles,INGLÉS,PORTUGUÉS,DESDE EL CIELO MULTIMEDIOS,1
Argentina,2016,200 - Religión,ingles,INGLÉS,PORTUGUÉS,TINTA LIBRE,1
Argentina,2016,200 - Religión,portugues,PORTUGUÉS,ESPAÑOL,ASOCIACION CASA EDITORA SUDAMERICANA,20
Argentina,2016,200 - Religión,portugues,PORTUGUÉS,ESPAÑOL,GRUPO PLANETA,1
Argentina,2016,200 - Religión,portugues,PORTUGUÉS,INGLÉS,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2016,200 - Religión,portugues,PORTUGUÉS,PORTUGUÉS,ASOCIACION CASA EDITORA SUDAMERICANA,4
Argentina,2016,300 - Ciencias sociales,espanol,CHINO,ESPAÑOL,EUDEBA,1
Argentina,2016,300 - Ciencias sociales,espanol,CHINO,ESPAÑOL,QUADRATA,1
Argentina,2016,300 - Ciencias sociales,espanol,CHINO,ESPAÑOL,RODRIGO RUFAIL,1
Argentina,2016,300 - Ciencias sociales,espanol,FRANCÉS,ESPAÑOL,CAPITAL INTELECTUAL,4
Argentina,2016,300 - Ciencias sociales,espanol,FRANCÉS,ESPAÑOL,EDITORIAL JUSBAIRES,7
Argentina,2016,300 - Ciencias sociales,espanol,FRANCÉS,ESPAÑOL,EL ATENEO,20
Argentina,2016,300 - Ciencias sociales,espanol,FRANCÉS,ESPAÑOL,GRUPO PLANETA,10
Argentina,2016,300 - Ciencias sociales,espanol,FRANCÉS,ESPAÑOL,SIGLO XXI EDITORES,9
Argentina,2016,300 - Ciencias sociales,espanol,GRIEGO MODERNO,ESPAÑOL,BEEME,1
Argentina,2016,300 - Ciencias sociales,espanol,INGLÉS,ESPAÑOL,CATAPULTA,15
Argentina,2016,300 - Ciencias sociales,espanol,INGLÉS,ESPAÑOL,EL ATENEO,24
Argentina,2016,300 - Ciencias sociales,espanol,INGLÉS,ESPAÑOL,GRUPO PLANETA,34
Argentina,2016,300 - Ciencias sociales,espanol,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,7
Argentina,2016,300 - Ciencias sociales,espanol,INGLÉS,ESPAÑOL,SIGLO XXI EDITORES,8
Argentina,2016,300 - Ciencias sociales,espanol,ITALIANO,ESPAÑOL,EDUCA,1
Argentina,2016,300 - Ciencias sociales,espanol,ITALIANO,ESPAÑOL,EL ATENEO,1
Argentina,2016,300 - Ciencias sociales,espanol,ITALIANO,ESPAÑOL,ESTUDIOS SOCIOLOGICOS EDITORA,1
Argentina,2016,300 - Ciencias sociales,espanol,ITALIANO,ESPAÑOL,PENGUIN RANDOM HOUSE,2
Argentina,2016,300 - Ciencias sociales,espanol,ITALIANO,ESPAÑOL,SIGLO XXI EDITORES,1
Argentina,2016,300 - Ciencias sociales,espanol,NEERLANDÉS,ESPAÑOL,DOROTHEA,1
Argentina,2016,300 - Ciencias sociales,espanol,NEERLANDÉS,ESPAÑOL,EDITORIAL MARAT,1
Argentina,2016,300 - Ciencias sociales,espanol,NEERLANDÉS,ESPAÑOL,IGLESIA NUEVA APOSTOLICA - SUD AMERICA,1
Argentina,2016,300 - Ciencias sociales,espanol,NEERLANDÉS,ESPAÑOL,KATZ,1
Argentina,2016,300 - Ciencias sociales,espanol,NEERLANDÉS,ESPAÑOL,V&R,2
Argentina,2016,300 - Ciencias sociales,espanol,NORUEGO,ESPAÑOL,PABLO CURTI,1
Argentina,2016,300 - Ciencias sociales,espanol,PORTUGUÉS,ESPAÑOL,EDUNLU,1
Argentina,2016,300 - Ciencias sociales,espanol,PORTUGUÉS,ESPAÑOL,LIMONERO,2
Argentina,2016,300 - Ciencias sociales,espanol,PORTUGUÉS,ESPAÑOL,SB,2
Argentina,2016,300 - Ciencias sociales,espanol,PORTUGUÉS,ESPAÑOL,SIGLO XXI EDITORES,2
Argentina,2016,300 - Ciencias sociales,espanol,PORTUGUÉS,ESPAÑOL,UNSAMEDITA,3
Argentina,2016,300 - Ciencias sociales,espanol,RUSO,ESPAÑOL,DOROTHEA,1
Argentina,2016,300 - Ciencias sociales,espanol,RUSO,ESPAÑOL,PENGUIN RANDOM HOUSE,8
Argentina,2016,300 - Ciencias sociales,espanol,UCRANIANO,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,CATALÁN,CATAPULTA,3
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,ESPAÑOL,CATAPULTA,15
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,ESPAÑOL,EL ATENEO,24
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,ESPAÑOL,GRUPO PLANETA,34
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,7
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,ESPAÑOL,SIGLO XXI EDITORES,8
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,ESPERANTO,SCHOOL FUN,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,INGLÉS,CATAPULTA,3
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,INGLÉS,GRUPO PLANETA,3
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,INGLÉS,INSTITUTO INTERNACIONAL DE PLANEAMIENTO DE LA EDUCACION IIPE-UNESCO,2
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,INGLÉS,LAURENZA,3
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,INGLÉS,LIBROS DEL ZORZAL,2
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,INTERLINGUA,PENGUIN RANDOM HOUSE,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,LENGUA NO DETERMINADA,!ACHIS!,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,LENGUA NO DETERMINADA,CATAPULTA,2
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,LENGUA NO DETERMINADA,EL ATENEO,2
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,LENGUA NO DETERMINADA,GRUPO PLANETA,4
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,LENGUA NO DETERMINADA,PENGUIN RANDOM HOUSE,3
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,POLACO,CATAPULTA,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,PORTUGUÉS,CATAPULTA,22
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,PORTUGUÉS,EDICIONES BARA,2
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,PORTUGUÉS,IVAN LORENZO FANINI,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,PORTUGUÉS,MIGUEL ANGEL LEDESMA,1
Argentina,2016,300 - Ciencias sociales,ingles,INGLÉS,PORTUGUÉS,PENGUIN RANDOM HOUSE,1
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,ESPAÑOL,EDUNLU,1
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,ESPAÑOL,LIMONERO,2
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,ESPAÑOL,SB,2
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,ESPAÑOL,SIGLO XXI EDITORES,2
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,ESPAÑOL,UNSAMEDITA,3
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,INGLÉS,CLACSO,1
Argentina,2016,300 - Ciencias sociales,portugues,PORTUGUÉS,PORTUGUÉS,CATAPULTA,1
Argentina,2016,400  - Lenguas,espanol,FRANCÉS,ESPAÑOL,EDICIONES DEL CCC CENTRO CULTURAL DE LA COOPERACION FLOREAL GORINI,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,FRANCÉS,ESPAÑOL,ASOCIACION QUIMICA ARGENTINA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,FRANCÉS,ESPAÑOL,CAPITAL INTELECTUAL,2
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,FRANCÉS,ESPAÑOL,DE LA CAMPANA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,FRANCÉS,ESPAÑOL,LOSADA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,FRANCÉS,ESPAÑOL,MARIA ALEJANDRA DERIARD,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,INGLÉS,ESPAÑOL,GRUPO PLANETA,3
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,INGLÉS,ESPAÑOL,PROMETEO EDITORES,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,INGLÉS,ESPAÑOL,SIGILO,2
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,INGLÉS,ESPAÑOL,UNIVERSIDAD ADVENTISTA DEL PLATA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,ITALIANO,ESPAÑOL,SIGLO XXI EDITORES,2
Argentina,2016,500 - Ciencias naturales y matemáticas,espanol,NEERLANDÉS,ESPAÑOL,ANTROPOSOFICA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,ESPAÑOL,GRUPO PLANETA,3
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,1
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,ESPAÑOL,PROMETEO EDITORES,1
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,ESPAÑOL,SIGILO,2
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,ESPAÑOL,UNIVERSIDAD ADVENTISTA DEL PLATA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,INGLÉS,LENGUAJE CLARO EDITORA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,LENGUA NO DETERMINADA,AUTORIA SHERPA,1
Argentina,2016,500 - Ciencias naturales y matemáticas,ingles,INGLÉS,LENGUA NO DETERMINADA,EDITORIAL MEDICA PANAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,FRANCÉS,ESPAÑOL,ALBATROS,2
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,FRANCÉS,ESPAÑOL,EL ATENEO,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,FRANCÉS,ESPAÑOL,JOURNAL,4
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,FRANCÉS,ESPAÑOL,LAZO NEGRO EDICIONES,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,FRANCÉS,ESPAÑOL,POLEMOS,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,INGLÉS,ESPAÑOL,ANEJO PRODUCCIONES,12
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,INGLÉS,ESPAÑOL,EDITORIAL MEDICA PANAMERICANA,8
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,INGLÉS,ESPAÑOL,GRUPO PLANETA,8
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,30
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,INGLÉS,ESPAÑOL,V&R,3
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,JAPONÉS,ESPAÑOL,GRUPO PLANETA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,NEERLANDÉS,ESPAÑOL,ALMA LEPIK,3
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,NEERLANDÉS,ESPAÑOL,DOROTHEA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,NEERLANDÉS,ESPAÑOL,DOS EDITORES,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,NEERLANDÉS,ESPAÑOL,GRUPO PLANETA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,NEERLANDÉS,ESPAÑOL,JOURNAL,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,PORTUGUÉS,ESPAÑOL,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,PORTUGUÉS,ESPAÑOL,EDITORIAL MEDICA PANAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,PORTUGUÉS,ESPAÑOL,HEMISFERIO SUR,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,PORTUGUÉS,ESPAÑOL,LUGAR EDITORIAL,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),espanol,RUSO,ESPAÑOL,ANTROPOSOFICA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,CATALÁN,CONTINENTE,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,ESPAÑOL,ANEJO PRODUCCIONES,12
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,ESPAÑOL,EDITORIAL MEDICA PANAMERICANA,8
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,ESPAÑOL,GRUPO PLANETA,8
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,ESPAÑOL,PENGUIN RANDOM HOUSE,30
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,ESPAÑOL,V&R,3
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,FRANCÉS,HERNAN CHOUSA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,GALLEGO,ANDREA HELENA PASSERA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,HÚNGARO,PENGUIN RANDOM HOUSE,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,INGLÉS,ANDREA HELENA PASSERA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,INGLÉS,ANEJO PRODUCCIONES,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,INGLÉS,CATAPULTA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,INGLÉS,GRUPO PLANETA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,INGLÉS,HERNAN CHOUSA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,ITALIANO,PENGUIN RANDOM HOUSE,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,LENGUA NO DETERMINADA,ANEJO PRODUCCIONES,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,LENGUA NO DETERMINADA,CONTINENTE,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,LENGUA NO DETERMINADA,JAVIER VERGARA EDITOR,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,LENGUA NO DETERMINADA,PENGUIN RANDOM HOUSE,3
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,PORTUGUÉS,DEL NUEVO EXTREMO,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,PORTUGUÉS,HERNAN CHOUSA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),ingles,INGLÉS,RUSO,ANEJO PRODUCCIONES,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),portugues,PORTUGUÉS,ESPAÑOL,ASOCIACION CASA EDITORA SUDAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),portugues,PORTUGUÉS,ESPAÑOL,EDITORIAL MEDICA PANAMERICANA,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),portugues,PORTUGUÉS,ESPAÑOL,HEMISFERIO SUR,1
Argentina,2016,600 - Tecnología (Ciencias aplicadas),portugues,PORTUGUÉS,ESPAÑOL,LUGAR EDITORIAL,1
Argentina,2016,700 - Las Artes  Bellas artes y artes decorativas,espanol,FRANCÉS,ESPAÑOL,CAPITAL INTELECTUAL,1
Argentina,2016,700 - Las Artes  Bellas artes y artes decorativas,espanol,FRANCÉS,ESPAÑOL,EDHASA,1
Argentina,2016,700 - Las Artes  Bellas artes y artes decorativas,espanol,FRANCÉS,ESPAÑOL,EDITORIAL OCTUBRE,1
Argentina,2016,700 - Las Artes  Bellas artes y artes decorativas,espanol,FRANCÉS,ESPAÑOL,EL ATENEO,1
Argentina,2016,700 - Las Artes  Bellas artes y artes decorativas,espanol,FRANCÉS,ESPAÑOL,EL CUENCO DE PLATA,2
